rbd,program_code,program_track,program_specialty_sector,program_specialty_name,program_gender,program_school_day
573,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
574,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
575,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
578,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
579,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
583,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
589,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
597,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
599,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
609,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
610,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
611,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
616,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
629,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
646,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
647,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
648,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
649,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
650,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
656,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
664,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
665,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
668,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
690,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
701,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
704,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
705,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
708,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
763,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
766,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
767,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
768,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
769,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
772,151053014133,Specialized,Electricity,Electricidad,Mixed,Full day
772,171072007133,Specialized,Agriculture,Agropecuaria (con mención),Mixed,Full day
774,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
799,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
802,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
845,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
967,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
968,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
982,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
987,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
988,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1013,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1036,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1048,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1119,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
1121,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1123,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1148,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1149,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1164,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
1167,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1183,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1184,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1189,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1190,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1194,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1195,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1196,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1198,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1199,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1213,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1214,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
1255,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1260,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1261,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1262,151051005133,Specialized,Construction,Instalaciones Sanitarias,Mixed,Full day
1262,151052009133,Specialized,Metalworking and mechanics,Construcciones Metálicas,Mixed,Full day
1262,151052010133,Specialized,Metalworking and mechanics,Mecánica Automotriz,Mixed,Full day
1262,151052013133,Specialized,Metalworking and mechanics,Mecánica Industrial (con mención),Mixed,Full day
1262,151053014133,Specialized,Electricity,Electricidad,Mixed,Full day
1263,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
1264,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1289,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1290,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
1291,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1292,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
1294,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1300,161061003133,Specialized,Food services,Gastronomía (con mención),Mixed,Full day
1300,171072007133,Specialized,Agriculture,Agropecuaria (con mención),Mixed,Full day
1301,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1302,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1316,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1318,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1327,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1335,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1347,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1354,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1361,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1362,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1363,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1364,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1366,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1367,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1368,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
1370,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1371,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
1392,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1393,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1395,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1397,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
1405,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1414,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1421,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1422,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1425,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1436,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1437,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
1443,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1444,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1445,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1449,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1450,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1453,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1464,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1467,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1468,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1469,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1478,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1482,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1484,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1489,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1490,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1500,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
1502,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1503,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1504,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1515,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1516,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1517,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1518,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1519,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1520,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1521,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
1522,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1525,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1542,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1549,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1579,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1581,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1582,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1585,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1586,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1587,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
1588,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1590,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
1594,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1604,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1607,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1610,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1610,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
1619,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1632,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
1635,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1653,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1657,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1663,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1664,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1672,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1674,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1675,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1676,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1681,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1685,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1734,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
1735,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1738,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1739,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
1741,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1742,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1743,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1747,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
1749,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1750,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1755,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1756,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1757,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1761,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1769,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1795,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1801,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1851,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
1858,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1859,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1860,131000000231,General,General academic,Ciclo General / Sin información,Mixed,Morning
1863,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1864,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1867,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1880,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1881,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1884,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1886,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1887,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1889,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1891,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1895,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1908,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1909,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1911,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1918,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1919,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1923,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
1934,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1941,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1958,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1959,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1967,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
1969,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1971,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1977,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1980,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1987,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
1996,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
1997,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2007,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2009,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2012,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2013,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2018,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2019,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2035,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2040,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2041,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
2042,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2043,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2044,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2045,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2047,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2049,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2050,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2052,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2055,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
2064,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2066,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2075,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2078,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2084,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2090,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2091,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2099,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2102,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
2103,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2104,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2105,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2109,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
2110,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
2111,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2123,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2124,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2134,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2150,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
2162,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2163,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2164,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2165,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2166,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
2167,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2171,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2183,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2205,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2206,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2217,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2218,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2219,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2222,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2224,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2233,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2244,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2250,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2251,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2259,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2263,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2278,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2280,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2283,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2285,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2308,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2309,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2310,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2319,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
2326,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
2329,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2339,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2355,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
2356,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
2375,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2378,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2400,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2401,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2406,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2411,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2422,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2442,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
2443,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2444,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
2447,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
